X1,X2,Class
-0.97099,0.42942,1
-0.632,0.25195,1
-0.77361,0.69075,1
-0.60621,0.17568,1
-0.53941,0.37674,1
-0.96033,0.11004,1
-1.0414,0.32851,1
-0.8226,0.17587,1
-0.94371,-0.18063,1
-0.96876,0.29607,1
-0.85364,0.64401,1
-0.77199,0.47634,1
-0.71895,0.090458,1
-0.53952,0.44784,1
-0.54009,0.55107,1
-0.79292,0.53124,1
-0.86147,0.28735,1
-0.47013,0.54425,1
-0.77068,0.48273,1
-0.80303,0.22863,1
-0.96252,0.36776,1
-0.68196,0.49535,1
-0.43301,0.21365,1
-0.33683,0.29361,1
-0.69643,0.31519,1
-0.35577,0.26979,1
-0.5479,0.27705,1
-0.79966,0.29293,1
-0.78001,0.038438,1
-0.85394,0.19842,1
-0.8963,0.28692,1
-0.82403,0.29523,1
-0.90108,0.32102,1
-0.55672,0.35815,1
-0.871,0.25899,1
-0.80082,0.36312,1
-0.699,0.41705,1
-0.75941,0.36616,1
-0.77527,0.30672,1
-0.89358,-0.096908,1
-0.28486,0.30732,1
-0.66557,0.36582,1
-0.74137,0.2985,1
-0.76773,0.24581,1
-0.77931,0.31909,1
-0.89219,0.20146,1
-0.12281,0.5165,1
-0.73173,0.055993,1
-1.012,0.34469,1
-0.57376,0.059677,1
-0.64143,0.33373,1
-0.9859,0.16202,1
-0.66114,0.13684,1
-0.74922,0.18515,1
-0.54033,0.3874,1
-0.59209,0.44751,1
-0.86008,0.21892,1
-0.86752,-0.13749,1
-0.59006,0.466,1
-0.77597,0.4034,1
-0.84969,0.31547,1
-0.74628,0.25624,1
-0.70085,0.51836,1
-0.92368,0.44945,1
-0.91209,0.40798,1
-0.65077,0.4122,1
-0.98033,0.29928,1
-0.74441,0.20309,1
-0.60417,0.32616,1
-0.7359,0.65529,1
-0.64361,0.51382,1
-0.96338,0.249,1
-0.42698,0.28218,1
-0.65476,0.56218,1
-0.84349,0.34542,1
-0.55397,0.53896,1
-0.71695,0.1221,1
-0.77533,0.49889,1
-0.64029,0.43576,1
-0.51688,0.18234,1
-0.95213,0.29828,1
-0.72302,0.25618,1
-0.65881,0.26915,1
-0.46455,0.21832,1
-0.56452,0.19651,1
-0.8141,0.2283,1
-0.39618,0.51177,1
-0.99664,0.20922,1
-0.81595,0.23597,1
-0.52663,0.41869,1
-0.66776,0.42883,1
-0.6589,0.031828,1
-0.92394,0.53025,1
-0.90997,0.45179,1
-0.41055,0.25216,1
-0.46206,0.23067,1
-0.36615,-0.03614,1
-0.59586,0.40029,1
-0.70439,0.23898,1
-0.84123,0.5771,1
-0.96983,0.15536,1
-0.55704,0.31419,1
-0.6711,0.36177,1
-0.50329,0.56642,1
-0.95033,0.078493,1
-0.67581,0.31931,1
-0.83156,0.14358,1
-0.43507,0.49286,1
-0.79302,0.11814,1
-0.84863,0.082763,1
-0.82027,0.39571,1
-0.42209,0.47776,1
-0.40868,0.37492,1
-0.54695,0.47375,1
-0.73544,0.26614,1
-0.58221,0.27199,1
-0.33835,0.24243,1
-0.53505,0.11804,1
-0.49374,0.71786,1
-0.76093,0.41625,1
-0.51568,0.18424,1
-0.6735,0.29624,1
-0.45971,0.18693,1
-0.69488,0.38184,1
-0.38745,0.080891,1
-0.59604,0.18497,1
-0.66437,0.42394,1
-0.88374,0.61494,1
-0.50934,0.29003,1
-0.92512,0.60475,1
-0.84101,0.29033,1
-0.89412,0.15717,1
-0.64657,0.60945,1
-1.0179,0.14872,1
-0.58253,0.18494,1
-0.89733,0.53209,1
-0.46502,0.28552,1
-0.72651,0.18187,1
-0.51435,0.15696,1
-0.73925,0.40885,1
-0.53705,0.30742,1
-0.92341,0.49225,1
-0.66322,0.24128,1
-0.8719,0.19179,1
-0.57476,0.2167,1
-0.77872,0.41713,1
-0.71749,0.16991,1
-0.29399,0.34169,1
-0.73218,0.61167,1
-0.67245,0.29033,1
-0.39291,0.31451,1
-0.8215,0.3835,1
-0.44165,0.13155,1
-0.73415,0.13837,1
-0.35347,0.40373,1
-0.75673,0.14093,1
-0.98527,0.30705,1
-0.73436,0.13192,1
-0.84381,0.5088,1
-0.87147,0.40953,1
-0.64377,0.38607,1
-0.61766,0.06734,1
-0.28207,0.69392,1
-0.40256,0.20439,1
-0.45858,0.42074,1
-0.8463,0.27715,1
-1.0485,0.33882,1
-0.7998,0.30943,1
-0.85204,0.30728,1
-0.61647,0.25295,1
-0.69169,0.27275,1
-0.80914,0.4419,1
-0.83714,0.26917,1
-0.74352,0.24742,1
-0.66065,-0.028489,1
-0.59482,0.10916,1
-0.59713,-0.037465,1
-0.92142,-0.069844,1
-0.87757,0.3043,1
-0.76537,0.59697,1
-0.69984,0.16713,1
-0.52343,-0.064743,1
-0.65639,0.01246,1
-1.037,0.14145,1
-0.71517,0.21724,1
-0.74786,0.56999,1
-0.62568,0.32012,1
-0.7567,0.17452,1
-0.67969,0.43841,1
-0.612,-0.13427,1
-0.64791,0.23964,1
-0.69107,0.25564,1
-0.67511,0.55017,1
-0.85107,0.47496,1
-0.83705,0.40805,1
-0.96141,0.58821,1
-0.64277,0.16349,1
-0.89208,0.064133,1
-0.9278,0.07224,1
-0.7518,0.40926,1
-0.80534,0.064157,1
-0.69284,0.17172,1
-0.70394,0.47673,1
-0.6948,0.26866,1
-0.56776,0.20712,1
-0.82238,0.2684,1
-0.56508,0.32702,1
-0.72418,0.62576,1
-0.91636,0.23612,1
-0.43018,0.26803,1
-0.63265,0.52238,1
-0.85097,0.34517,1
-0.60969,0.50187,1
-0.70566,0.22069,1
-0.69316,0.10024,1
-0.63392,0.3907,1
-0.71041,0.01518,1
-1.0551,0.51783,1
-0.62128,0.16738,1
-0.61342,0.26613,1
-0.98957,0.16669,1
-0.92358,0.41261,1
-0.88958,0.42676,1
-0.93004,0.24053,1
-0.69142,0.0063396,1
-1.0314,0.48228,1
-0.70139,0.46236,1
-0.62772,0.24381,1
-0.82938,0.48787,1
-0.6122,0.12172,1
-0.52814,0.44996,1
-0.61667,0.058254,1
-0.6492,0.26391,1
-0.65538,0.22579,1
-0.75009,0.11955,1
-0.47192,0.27883,1
-0.21991,0.31505,1
-0.8717,0.24057,1
-0.7302,0.2955,1
-0.62068,0.046384,1
-0.65783,0.2659,1
-0.47535,0.27985,1
-0.73479,0.36524,1
-0.77267,0.35548,1
-0.62071,0.7708,1
-0.52963,0.091068,1
-0.73085,0.6428,1
-0.93869,0.32428,1
-0.72371,-0.018,1
-0.97957,-0.0030344,1
0.44875,0.01505,1
-0.077907,0.24584,1
0.31679,0.25292,1
0.2296,0.067682,1
0.19795,0.31,1
0.048405,-0.037865,1
0.2706,0.2602,1
0.51619,0.25826,1
0.15472,0.040307,1
-0.0056113,0.22366,1
0.36508,-0.0019566,1
0.086616,0.13848,1
0.19865,0.047612,1
0.13187,0.40226,1
0.58589,0.4332,1
-0.023499,0.37992,1
0.39417,0.53394,1
0.59598,0.68052,1
0.38842,0.32193,1
0.27045,0.36031,1
0.33691,0.17626,1
0.48143,0.32603,1
0.24687,0.5327,1
-0.02044,0.13216,1
0.38994,0.30922,1
0.048115,0.10476,1
0.28482,-0.048776,1
0.52917,0.28531,1
0.34921,0.063167,1
0.32389,0.19236,1
0.32121,0.10119,1
0.30337,0.28669,1
-0.07598,0.3122,1
0.31789,0.11058,1
0.13615,0.22351,1
0.086777,0.39732,1
0.33056,-0.018831,1
0.20226,0.21206,1
0.2767,0.54179,1
0.24481,-0.033435,1
0.42904,0.18397,1
0.34041,0.23747,1
0.38206,0.1233,1
0.38183,0.08581,1
0.42442,0.32195,1
0.20631,0.34896,1
0.091615,0.30913,1
0.6276,0.47219,1
0.27024,0.36194,1
0.12793,0.36824,1
0.39919,0.12005,1
0.45062,0.45233,1
0.2549,0.41022,1
0.25952,0.12443,1
0.417,0.30081,1
0.34658,0.28348,1
0.74885,0.24681,1
0.42853,0.63626,1
0.12737,0.32173,1
0.52872,0.22708,1
0.61817,0.32731,1
0.28603,0.21564,1
0.14258,0.11296,1
0.28276,0.091628,1
0.78822,0.46455,1
0.11917,0.23957,1
0.24477,0.014907,1
0.16044,0.45526,1
0.45407,0.33258,1
-0.057868,0.49868,1
-0.11137,0.079756,1
0.19882,0.47602,1
0.59547,0.16212,1
0.085627,0.31526,1
0.46526,0.12333,1
0.35967,0.3645,1
0.11182,0.29637,1
0.50927,0.46404,1
0.47089,0.28556,1
0.39326,0.093782,1
0.3119,0.28663,1
0.15159,0.26841,1
0.084423,0.31928,1
